STATE,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
North Carolina,2011,10,2.32629,381,61,16378
North Dakota,2011,10,4.21801,89,12,2110
Ohio,2011,10,1.48446,236,48,15898
Oklahoma,2011,10,3.57379,108,15,3022
Oregon,2011,10,2.09194,76,19,3633
Pennsylvania,2011,10,2.76817,368,54,13294
Rhode Island,2011,10,2.27168,148,21,6515
South Carolina,2011,10,2.19114,141,20,6435
South Dakota,2011,10,3.50391,215,19,6136
Tennessee,2011,10,2.14712,223,51,10386
Texas,2011,10,3.68025,1784,82,48475
Utah,2011,10,1.89679,154,20,8119
Vermont,2011,10,2.74522,89,13,3242
Virginia,2011,10,2.8357,1825,91,64358
Washington,2011,10,3.04946,82,15,2689
West Virginia,2011,10,2.60933,324,36,12417
Wisconsin,2011,10,3.12896,148,45,4730
Wyoming,2011,10,1.53282,71,22,4632
New York City,2011,10,1.87236,1723,36,92023
Alabama,2011,11,4.04606,390,29,9639
Alaska,2011,11,2.68747,62,8,2307
Arizona,2011,11,1.32819,310,64,23340
Arkansas,2011,11,3.26913,129,16,3946
California,2011,11,4.4379,1598,134,36008
Colorado,2011,11,1.78431,387,12,21689
Connecticut,2011,11,0.888569,37,22,4164
